rank,name,typ,wsk,ind_01,ind_02,ind_03,ind_04,ind_05,ind_06,ind_07,ind_08,ind_09,ind_10,ind_11,ind_12,ind_13,ind_14,ind_15,ind_16,ind_17,ind_18,ind_19,ind_20,ind_21,ind_22,ind_23,ind_24,ind_25,ind_26,ind_27,ind_28,ind_29,year,canonical,ind_30,ind_31
71-82,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,,,2.04,0.0,36.55,56.65,62.42,22.33,33.02,1.83,13.29,67.18,24.33,29.71,19.91,23.36,19.11,24.02,35.1,38.07,51.2,0.0,11.74,0.0,52.05,8.97,1.0,2.01,0.0,8.4,16.51,2023,,7.83,
71-82,Uniwersytet Papieski Jana Pawła II w Krakowie,,,3.24,0.0,34.08,64.62,98.79,15.53,20.75,0.0,0.0,6.17,36.97,61.46,45.6,6.57,4.21,18.34,18.29,23.56,57.08,6.72,13.48,0.84,19.15,2.56,0.0,3.16,0.0,17.47,8.35,2023,,26.09,
71-82,Uniwersytet Pedagogiczny im. KEN w Krakowie,,,2.0,2.82,33.86,59.89,56.12,36.89,47.17,0.0,0.0,68.78,26.43,42.07,19.34,18.26,18.27,27.95,32.45,48.64,33.77,6.72,8.62,0.0,56.79,10.98,4.54,4.91,0.0,7.28,9.77,2023,,15.65,
71-82,Uniwersytet Pomorski w Słupsku,,,0.37,0.0,39.33,54.6,46.93,6.8,15.09,0.0,0.0,46.46,31.62,26.5,10.91,16.6,27.58,27.95,33.04,41.39,42.11,0.0,98.81,0.82,49.43,10.12,3.7,0.0,0.0,3.2,100.0,2023,,16.52,
71-82,Uniwersytet WSB Merito w Poznaniu,,,2.35,0.0,50.34,67.97,43.93,2.91,5.66,0.0,0.0,40.06,9.77,27.68,4.07,50.74,29.6,51.09,46.02,56.19,6.26,11.76,16.31,2.29,31.91,1.4,0.0,0.0,0.0,3.03,1.47,2023,,42.61,
83+,Akademia Bialska Nauk Stosowanych w Białej Podlaskiej,,,0.96,0.0,32.74,57.14,29.89,1.94,1.89,3.93,0.0,40.24,18.52,10.32,0.0,55.0,24.42,32.31,32.15,28.1,36.18,0.0,55.35,0.0,47.3,5.73,0.0,5.98,0.0,12.63,10.0,2023,,7.83,
83+,Akademia Humanitas w Sosnowcu,,,0.6,0.0,44.86,53.73,56.21,1.94,4.72,0.0,0.0,0.12,0.55,80.21,0.0,5.97,26.42,47.6,41.0,36.56,16.38,0.0,57.72,23.34,40.92,23.38,0.0,0.0,0.0,0.0,0.0,2023,,7.83,
83+,Akademia Ignatianum w Krakowie,,,3.35,0.0,31.42,66.5,51.61,4.85,16.04,0.0,0.0,23.21,30.93,21.33,3.58,9.08,24.78,31.44,24.78,57.7,47.02,6.72,5.32,0.0,32.41,11.07,0.0,0.0,0.0,12.01,19.41,2023,,5.22,
83+,Akademia Pedagogiki Specjalnej im. M. Grzegorzewskiej w Warszawie,,,3.99,0.0,49.22,56.76,46.26,6.8,9.43,0.0,0.0,23.78,25.01,27.75,26.76,10.31,18.13,39.3,33.63,53.17,44.73,1.68,3.38,0.0,45.34,1.88,5.67,5.14,0.0,8.44,5.39,2023,,7.83,
83+,Akademia Techniczno-Humanistyczna w Bielsku-Białej,,,1.11,0.0,42.23,58.18,54.94,12.62,15.09,3.51,0.0,54.02,32.2,8.8,2.96,32.92,17.96,27.51,38.05,35.35,43.11,0.0,6.27,0.29,56.63,13.64,5.87,5.43,0.0,4.93,13.79,2023,Uniwersytet Bielsko-Bialski,5.22,
83+,Krakowska Akademia im. A. Frycza Modrzewskiego w Krakowie,,,4.58,0.0,34.66,49.72,40.34,6.8,6.6,0.0,0.0,29.84,10.97,70.82,8.1,21.6,20.98,27.07,28.91,29.0,27.89,6.72,55.28,2.97,45.34,3.77,1.26,0.0,0.0,3.32,4.97,2023,,33.91,
83+,Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach,,,0.92,0.0,32.35,53.33,78.15,21.36,23.58,6.64,0.0,60.0,25.95,30.56,17.41,28.78,16.74,19.21,31.56,25.08,52.48,0.0,15.18,0.0,33.06,6.67,0.0,0.0,0.0,4.44,15.32,2023,,5.22,
83+,Uniwersytet Technologiczno-Humanistyczny im. K. Pułaskiego w Radomiu,,,0.4,0.0,37.59,57.14,62.88,11.65,22.64,4.79,0.0,47.8,29.14,31.36,19.71,30.24,18.62,26.64,34.22,29.61,49.32,0.0,12.57,0.0,51.23,7.59,0.0,0.0,0.0,0.0,0.0,2023,Uniwersytet Radomski,6.09,
1,Uniwersytet Warszawski,,100.0,97.21,95.22,60.11,68.27,77.55,86.88,89.3,90.19,3.43,51.38,94.15,61.8,100.0,35.17,37.44,51.04,45.42,42.29,47.81,71.43,64.07,100.0,28.08,29.31,65.72,100.0,28.41,47.23,55.97,2024,,17.12,77.78
2,Uniwersytet Jagielloński w Krakowie,,98.0,100.0,100.0,55.12,59.89,71.58,80.01,100.0,75.51,4.08,88.28,100.0,74.35,37.63,55.44,52.74,56.04,43.9,39.53,51.56,64.03,74.18,62.99,43.09,19.17,61.38,100.0,19.57,39.14,56.71,2024,,18.82,91.67
3,Politechnika Warszawska,,85.0,54.14,55.6,77.33,82.86,70.15,58.87,50.23,100.0,14.97,58.16,65.57,75.73,31.04,39.27,46.42,61.79,29.11,27.27,49.38,59.44,61.09,44.88,31.58,48.71,51.65,100.0,10.07,14.36,34.72,2024,Politechnika Warszawska,18.68,69.44
4,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,,81.3,44.65,54.13,71.65,72.87,67.14,73.17,53.49,100.0,12.0,72.23,70.01,62.95,39.82,36.21,43.62,63.22,34.6,32.41,69.06,72.45,68.99,50.39,9.55,12.95,59.58,100.0,10.35,29.3,19.37,2024,AGH,20.08,19.44
5,Politechnika Gdańska,,80.1,19.39,41.44,68.4,72.97,84.83,70.03,45.12,88.5,19.22,66.03,52.16,54.79,47.59,39.35,49.96,75.43,41.06,35.57,40.31,75.26,49.36,31.5,26.19,33.27,64.37,100.0,14.34,100.0,52.16,2024,Politechnika Gdanska,54.9,25.0
6,Uniwersytet im. Adama Mickiewicza w Poznaniu,,75.3,55.15,51.89,49.41,55.77,73.65,94.87,80.0,60.54,5.33,7.96,73.02,80.96,15.96,33.42,37.95,40.07,32.74,32.41,40.0,70.66,64.99,39.37,29.03,14.32,56.74,100.0,24.36,24.06,31.99,2024,,21.57,44.44
7,Politechnika Wrocławska,,74.6,47.12,46.15,70.36,71.87,78.0,53.93,46.98,100.0,18.87,43.24,61.39,42.35,19.82,46.74,53.85,58.32,29.18,26.88,36.88,52.3,56.06,29.92,22.09,23.13,52.84,100.0,10.91,37.08,19.51,2024,Politechnika Wroclawska,12.64,33.33
8=,Politechnika Łódzka,,74.0,11.09,34.09,68.04,72.93,78.29,61.0,41.86,71.51,27.35,66.19,44.53,56.96,28.56,41.54,35.13,65.28,37.51,28.85,40.94,52.81,68.12,34.65,16.0,47.25,52.25,100.0,10.0,29.26,64.45,2024,Politechnika Lodzka,36.83,11.11
8=,Politechnika Poznańska,,74.0,16.04,33.68,70.82,72.93,76.51,59.43,32.09,77.96,28.6,100.0,45.28,69.23,30.27,28.51,48.2,63.19,30.07,30.04,41.56,50.51,50.03,20.47,22.0,30.35,45.06,100.0,7.99,100.0,30.66,2024,Politechnika Poznanska,15.78,30.56
10,Warszawski Uniwersytet Medyczny,,73.0,19.42,38.46,76.98,82.15,71.43,59.75,11.16,49.77,2.65,45.83,39.27,46.47,9.54,72.22,86.89,100.0,49.05,43.87,37.81,40.56,76.73,6.3,32.6,29.1,47.46,0.0,2.15,10.77,37.22,2024,,11.08,63.89
11,Politechnika Śląska,,70.7,28.32,34.7,68.1,71.11,69.07,75.63,40.47,100.0,28.2,41.51,60.26,42.75,28.4,43.31,32.85,59.52,31.56,33.2,39.38,53.83,67.17,31.5,15.18,23.98,47.9,100.0,12.27,35.57,17.56,2024,Politechnika Slaska,10.33,36.11
12=,Uniwersytet Medyczny w Białymstoku,,69.8,7.99,22.81,62.39,65.0,75.24,66.96,11.16,71.8,2.03,50.75,16.39,74.6,27.45,69.83,83.45,80.26,52.52,41.9,40.31,39.29,80.23,11.02,33.52,30.21,44.31,0.0,1.61,9.64,2.28,2024,,0.56,33.33
12=,Gdański Uniwersytet Medyczny,,69.7,16.63,30.75,64.78,68.36,59.04,68.79,11.16,41.14,3.98,47.9,24.11,53.5,9.46,75.58,83.75,71.91,50.2,47.04,40.63,46.68,80.6,9.45,55.59,50.38,54.19,0.0,1.38,16.97,20.77,2024,,7.54,41.67
12=,Uniwersytet Medyczny w Łodzi,,69.5,4.98,31.28,69.71,69.13,70.04,54.26,11.16,47.51,2.48,27.92,27.07,70.35,12.41,54.25,51.4,99.93,76.17,61.26,58.44,39.29,72.27,7.87,33.54,33.54,48.2,0.0,1.71,19.1,20.88,2024,,6.89,55.56
12=,Szkoła Główna Handlowa w Warszawie,,69.3,29.78,14.25,100.0,100.0,57.14,70.87,10.7,45.68,0.0,0.0,42.23,52.19,30.38,28.88,33.19,24.55,20.79,29.64,33.75,38.27,55.66,41.73,40.49,35.39,39.67,100.0,3.75,16.62,100.0,2024,,36.52,30.56
16=,Uniwersytet Gdański,,68.1,21.35,34.52,55.36,61.9,62.95,65.0,66.98,81.98,9.22,81.02,60.48,48.3,42.33,31.66,42.81,35.33,33.1,30.83,39.38,64.8,53.43,28.35,10.52,26.79,61.08,100.0,15.93,100.0,30.34,2024,,13.22,16.67
16=,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,,68.1,8.69,45.88,66.01,65.02,71.43,50.02,11.16,42.01,4.88,0.0,29.47,37.33,5.24,58.58,78.86,86.99,62.27,58.1,36.88,46.43,94.04,4.72,53.2,45.28,50.9,0.0,0.76,34.44,24.05,2024,,11.74,52.78
16=,Akademia Leona Koźmińskiego w Warszawie,,67.7,34.85,16.68,68.93,47.76,63.59,59.23,11.16,47.14,0.0,0.0,30.73,66.25,8.69,33.6,31.03,43.34,34.94,43.48,42.5,70.15,22.79,42.52,46.64,66.84,69.31,0.0,33.04,100.0,95.33,2024,,37.15,27.78
19=,Pomorski Uniwersytet Medyczny w Szczecinie,,67.6,2.97,15.76,65.31,70.38,73.62,84.72,8.37,37.74,3.6,0.0,20.83,56.16,4.07,94.28,81.76,78.72,96.3,71.15,70.0,36.73,61.2,0.0,42.23,22.32,42.37,0.0,1.75,24.56,6.65,2024,,1.84,22.22
19=,Uniwersytet Wrocławski,,67.1,36.98,39.07,47.19,50.82,68.35,79.53,76.28,75.72,0.73,0.0,53.79,55.88,5.25,37.89,38.46,36.88,30.79,32.81,38.75,61.73,65.8,26.77,28.54,23.71,63.02,100.0,16.24,97.42,40.46,2024,,17.68,58.33
21,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,,66.8,12.37,29.76,67.4,71.39,61.15,75.44,11.16,42.52,0.4,0.0,31.28,49.96,8.12,84.44,100.0,84.26,47.31,39.92,35.63,40.05,90.57,9.45,38.41,36.12,45.66,0.0,2.0,4.4,16.9,2024,,3.51,36.11
22,Uniwersytet Medyczny w Lublinie,,65.6,7.15,23.92,67.18,68.33,62.11,53.63,11.16,80.62,13.92,71.9,23.61,38.88,2.45,53.61,82.19,81.79,44.72,34.78,39.06,31.89,83.35,11.02,52.22,39.65,41.17,0.0,1.69,21.3,1.63,2024,,4.93,38.89
23,Uniwersytet Mikołaja Kopernika w Toruniu,,65.0,22.46,45.35,51.24,55.12,67.84,80.01,95.35,52.07,2.15,0.0,66.8,37.75,15.28,41.27,40.89,46.78,36.25,32.81,36.56,50.26,69.78,51.97,23.88,14.52,55.99,100.0,11.6,34.6,20.34,2024,,16.22,50.0
24=,Uniwersytet SWPS,,62.1,18.98,17.39,56.35,51.78,86.2,53.04,16.28,55.93,0.0,0.0,23.11,49.76,65.23,48.56,49.4,60.4,34.75,40.32,41.88,64.54,16.91,4.72,25.88,16.63,72.6,100.0,10.98,57.67,10.06,2024,,2.38,30.56
24=,Akademia WSB w Dąbrowie Górniczej,,62.0,2.11,6.52,56.65,47.23,75.34,67.38,9.3,24.14,0.0,0.0,41.41,35.33,0.0,90.16,37.65,54.35,40.31,49.01,54.69,19.13,11.24,24.32,100.0,100.0,94.16,0.0,30.23,67.44,29.27,2024,,10.36,52.78
26=,Uniwersytet Śląski w Katowicach,,60.5,15.81,27.52,42.79,44.36,69.02,84.92,77.67,52.21,24.43,43.44,53.45,47.45,10.81,29.72,39.44,37.58,25.06,24.51,40.31,61.22,66.03,18.9,16.57,4.73,50.3,100.0,11.37,100.0,25.85,2024,,11.26,19.44
26=,Uniwersytet Opolski,,60.1,3.78,16.39,41.87,42.31,64.76,61.65,40.93,27.46,1.53,0.0,41.64,57.1,9.91,26.01,23.06,39.16,100.0,82.61,100.0,41.84,50.03,7.09,37.15,32.45,51.95,100.0,14.36,75.53,14.26,2024,,5.64,25.0
26=,Uniwersytet Przyrodniczy we Wrocławiu,,60.0,11.54,21.54,38.3,34.5,68.68,73.53,26.98,57.87,31.62,0.0,44.13,63.93,28.74,44.32,49.96,56.75,36.66,31.23,39.69,53.06,68.88,15.75,21.2,17.44,53.44,100.0,5.27,22.84,31.2,2024,,15.34,16.67
29=,Uniwersytet Łódzki,,59.9,16.03,31.73,50.77,57.23,62.9,74.02,70.7,44.28,11.06,0.0,63.06,35.46,23.51,34.65,41.28,36.23,27.96,25.3,41.56,54.59,57.59,21.26,34.6,20.47,49.7,100.0,13.47,61.02,30.4,2024,,27.41,44.44
29=,Politechnika Krakowska im. Tadeusza Kościuszki,,59.8,11.76,24.6,57.34,57.47,76.58,47.29,28.37,100.0,21.34,0.0,43.81,54.02,10.54,30.93,52.3,63.75,29.4,30.43,42.81,45.41,50.09,14.96,16.5,6.78,45.81,100.0,7.85,15.31,23.58,2024,Politechnika Krakowska,20.01,11.11
29=,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,,59.8,23.18,33.11,49.3,52.7,60.07,77.82,40.93,56.03,7.21,8.07,55.91,54.67,17.41,25.98,40.26,46.16,40.01,34.78,40.94,46.68,56.66,15.75,28.04,18.19,49.25,100.0,5.44,26.9,21.03,2024,,12.45,41.67
29=,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,,59.7,4.8,12.39,64.5,69.62,61.56,40.08,24.65,100.0,7.18,47.48,27.75,70.47,14.92,39.25,47.79,57.95,22.09,19.76,38.13,42.6,100.0,15.75,5.52,0.99,32.04,0.0,1.77,12.4,19.45,2024,WAT,5.81,2.78
33,Politechnika Lubelska,,59.3,4.37,18.21,52.72,54.42,83.09,49.61,19.07,48.61,100.0,17.26,36.27,45.58,1.2,26.86,34.15,73.75,25.25,26.48,47.19,35.71,48.03,2.36,52.86,0.54,55.84,0.0,5.5,52.23,38.79,2024,Politechnika Lubelska,9.37,5.56
34,Uniwersytet Przyrodniczy w Poznaniu,,58.2,11.13,29.07,43.72,44.99,69.97,99.04,29.3,28.77,17.21,12.59,47.49,44.67,10.7,63.21,45.12,58.66,40.5,34.39,41.25,49.74,83.81,11.81,20.07,16.77,43.41,0.0,3.81,8.16,6.29,2024,,4.64,25.0
35=,Śląski Uniwersytet Medyczny w Katowicach,,57.3,4.6,23.91,66.45,67.81,57.14,53.71,11.16,84.88,5.87,15.75,28.25,33.16,5.59,52.63,89.22,75.25,36.06,39.53,35.94,32.14,73.32,7.87,19.29,17.25,41.62,0.0,0.6,10.12,11.71,2024,,6.19,33.33
35=,Uniwersytet Ekonomiczny w Poznaniu,,56.8,10.1,11.13,68.52,75.93,57.14,85.27,7.44,31.98,0.0,0.0,41.31,51.29,5.53,43.51,34.21,28.76,34.59,33.99,41.56,52.55,42.5,33.07,33.24,12.51,42.07,0.0,4.3,67.1,41.11,2024,,15.38,22.22
37,Polsko-Japońska Akademia Technik Komputerowych,,56.5,6.78,8.19,74.17,56.56,63.52,19.61,6.05,19.05,0.0,0.0,3.92,52.27,42.08,9.47,65.32,80.05,20.56,33.2,37.5,35.71,8.96,6.3,95.87,80.11,50.45,0.0,20.3,46.7,10.46,2024,PJATK,0.71,27.78
38,Akademia Ekonomiczno-Humanistyczna w Warszawie,,55.9,1.98,8.94,54.89,42.61,60.65,61.44,6.51,17.78,0.0,0.0,32.25,19.31,0.0,34.8,4.28,29.32,56.22,100.0,79.38,77.81,5.44,1.57,100.0,86.1,97.75,0.0,100.0,20.14,1.37,2024,,2.63,63.89
39=,Katolicki Uniwersytet Lubelski Jana Pawła II,,55.6,8.43,17.28,39.17,30.26,75.33,84.06,43.72,36.3,2.6,0.0,42.18,100.0,0.0,33.42,41.41,26.61,33.12,32.81,44.38,41.33,74.69,1.57,33.01,5.59,29.79,0.0,11.9,64.61,22.29,2024,,12.39,11.11
39=,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,,55.4,4.15,15.24,56.57,55.95,64.24,83.78,39.53,35.37,30.13,0.0,43.82,48.44,12.77,29.2,32.35,53.41,40.64,35.57,40.0,42.09,84.52,3.94,22.65,0.83,40.42,0.0,2.29,41.2,16.75,2024,ZUT,30.6,5.56
41=,Uczelnia Łazarskiego w Warszawie,,55.0,5.62,6.06,63.82,54.45,72.34,38.2,6.51,0.0,0.0,0.0,9.95,42.54,8.29,100.0,11.66,45.47,24.58,33.6,32.19,23.47,21.08,6.3,99.23,67.22,38.92,0.0,22.1,100.0,20.34,2024,,8.38,25.0
41=,Politechnika Opolska,,54.5,2.12,15.78,54.41,52.98,62.96,62.85,19.07,73.53,15.09,47.49,30.0,34.48,0.0,38.0,29.3,59.55,35.47,35.57,39.69,63.01,56.15,2.36,34.21,4.86,64.07,0.0,13.51,86.23,8.79,2024,Politechnika Opolska,20.17,8.33
43=,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,,53.9,7.01,10.93,49.36,48.52,67.01,82.87,47.44,51.3,1.72,33.44,38.58,61.46,0.0,50.29,43.78,27.67,54.48,44.27,47.19,40.31,49.35,0.0,9.38,0.85,48.65,0.0,10.64,68.35,14.04,2024,,3.93,5.56
43=,Społeczna Akademia Nauk w Łodzi,,53.9,1.01,7.77,56.38,53.71,63.81,19.77,3.26,0.0,0.0,0.0,20.75,14.14,18.63,25.15,0.0,80.79,58.03,59.29,48.75,100.0,9.09,1.57,62.07,85.5,100.0,0.0,19.44,88.89,8.48,2024,,2.08,22.22
43=,Akademia Wychowania Fizycznego im. J. Kukuczki w Katowicach,,53.5,2.28,8.7,39.79,49.26,100.0,39.72,3.72,70.21,32.4,0.0,11.59,32.93,0.0,47.37,41.55,89.6,29.64,26.48,36.88,38.52,45.81,0.0,2.17,19.57,64.97,0.0,1.86,18.6,33.42,2024,,19.84,2.78
46=,Uniwersytet Ekonomiczny w Krakowie,,53.3,9.7,12.1,61.1,66.39,58.68,54.05,13.02,40.1,0.12,0.0,43.76,35.89,6.3,43.27,37.05,19.59,27.44,35.18,46.25,45.92,29.79,43.31,24.8,28.27,34.58,0.0,3.31,99.17,34.53,2024,,14.31,13.89
46=,Politechnika Białostocka,,53.0,3.1,14.85,51.59,54.21,61.18,60.08,23.26,72.51,13.01,70.79,37.76,46.22,0.0,23.29,23.82,54.38,25.9,25.69,35.31,37.5,51.82,11.02,19.31,4.47,40.57,0.0,7.21,84.32,39.22,2024,Politechnika Bialostocka,35.36,16.67
48=,Uniwersytet Ekonomiczny we Wrocławiu,,52.3,8.39,10.57,64.23,67.46,57.14,71.42,9.77,30.65,0.52,0.0,43.71,41.64,15.28,20.76,26.84,27.25,25.06,28.85,43.13,42.35,40.9,33.86,16.32,30.61,38.02,0.0,3.07,100.0,29.66,2024,,24.31,8.33
48=,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,,52.2,12.76,20.28,38.84,38.36,64.94,86.29,67.91,35.28,7.13,18.04,53.48,35.97,9.08,28.44,37.46,33.46,29.11,24.51,39.06,53.32,61.72,21.26,42.87,9.22,44.61,0.0,9.2,19.51,13.87,2024,,6.34,30.56
50=,Akademia Finansów i Biznesu Vistula,,51.6,2.07,6.14,61.98,40.5,63.07,45.36,7.91,31.03,5.44,0.0,20.26,51.02,0.0,17.4,0.0,32.24,25.04,39.13,29.06,57.14,6.9,9.45,100.0,100.0,44.61,0.0,33.85,83.08,16.03,2024,,4.07,100.0
50=,Uniwersytet w Białymstoku,,51.5,3.72,14.49,39.9,39.43,65.15,76.42,34.42,53.9,7.79,32.4,38.87,27.73,4.96,37.19,40.7,29.86,55.36,44.27,55.0,54.08,60.79,4.72,25.83,0.0,46.86,0.0,10.97,86.69,19.01,2024,,8.26,11.11
50=,Uniwersytet Zielonogórski,,51.3,4.89,24.85,53.26,54.19,63.12,62.87,50.7,10.17,3.73,0.0,41.81,45.32,14.03,36.7,12.72,47.98,47.46,41.9,39.38,46.94,68.54,0.0,10.91,1.62,64.97,0.0,11.33,40.32,10.92,2024,,8.44,5.56
50=,Uniwersytet Warmińsko-Mazurski w Olsztynie,,51.2,12.29,26.07,44.49,38.37,62.19,78.64,69.77,24.96,7.96,0.0,54.29,33.98,5.18,38.32,33.9,43.72,38.38,36.76,37.81,45.92,67.02,25.2,11.09,7.1,41.62,0.0,5.09,11.7,11.14,2024,,10.78,25.0
50=,Politechnika Częstochowska,,51.2,2.85,15.61,51.92,45.03,55.92,65.54,23.72,40.82,11.26,14.57,41.73,35.12,8.08,21.82,38.99,63.96,27.05,26.48,36.56,28.06,83.63,6.3,50.07,11.32,52.25,0.0,5.95,54.21,5.41,2024,Politechnika Czestochowska,24.85,13.89
55-60,Collegium Civitas w Warszawie,,,3.92,5.61,62.51,44.58,57.14,31.85,3.26,0.0,0.0,0.0,8.81,28.76,0.0,44.41,6.56,26.51,20.2,41.5,37.19,74.49,17.58,1.57,100.0,71.16,55.39,0.0,43.37,77.11,54.79,2024,,34.85,27.78
55-60,Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich,,,1.9,11.13,57.63,58.63,62.07,52.51,23.58,30.92,31.03,50.03,35.89,34.71,10.35,30.76,30.63,48.55,30.02,28.06,36.25,38.27,53.96,0.0,5.55,0.0,48.8,0.0,8.06,30.77,8.86,2024,Politechnika Bydgoska,24.89,5.56
55-60,Politechnika Koszalińska,,,0.74,9.9,51.13,50.34,60.05,54.4,12.56,64.63,38.29,0.0,26.3,45.93,3.07,14.04,8.64,43.77,32.58,30.83,40.0,35.97,61.23,1.57,26.55,0.0,57.78,100.0,12.04,54.85,9.16,2024,Politechnika Koszalinska,11.43,5.56
55-60,Uniwersytet Morski w Gdyni,,,0.97,9.82,54.33,43.81,54.34,43.95,12.09,25.35,3.62,41.01,28.95,96.16,5.68,44.24,15.85,39.42,24.85,23.72,30.94,48.47,44.06,0.0,12.42,0.0,25.0,0.0,2.58,11.61,41.28,2024,Uniwersytet Morski w Gdyni,7.96,5.56
55-60,Uniwersytet Przyrodniczy w Lublinie,,,6.53,16.75,34.14,16.96,65.02,94.09,21.86,25.5,16.14,0.0,41.62,37.26,0.1,70.66,46.4,58.36,32.85,28.06,37.5,42.09,70.5,11.02,13.94,2.45,36.98,0.0,0.0,100.0,11.3,2024,,7.82,8.33
55-60,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,,,7.49,15.63,38.3,25.56,67.07,95.34,30.7,36.04,10.66,14.63,44.4,46.15,2.7,35.09,37.58,51.04,35.67,32.81,40.31,60.2,75.94,0.0,8.73,1.32,47.01,0.0,6.95,24.89,10.09,2024,,6.82,8.33
61-72,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,,,1.82,7.95,44.46,42.27,81.65,27.41,4.65,0.0,5.88,0.0,9.53,50.25,0.0,7.68,8.51,40.79,22.24,22.92,40.0,70.66,66.87,2.36,1.98,0.0,18.41,0.0,3.48,100.0,69.69,2024,,23.13,0.0
61-72,Akademia Pożarnicza,,,0.42,7.68,78.74,89.04,84.74,31.28,4.65,0.0,5.94,0.0,9.21,43.38,33.07,22.15,27.27,31.92,23.22,19.37,33.44,28.32,36.91,0.0,0.67,0.0,24.1,0.0,3.08,0.0,1.25,2024,,0.0,0.0
61-72,Akademia Wychowania Fizycznego i Sportu w Gdańsku,,,1.39,8.0,42.14,47.61,71.43,33.2,3.72,61.76,0.0,0.0,8.04,27.55,0.0,37.58,52.05,92.72,26.53,25.69,36.25,29.85,31.63,0.0,20.64,10.73,83.53,0.0,10.88,24.49,15.78,2024,,6.16,8.33
61-72,Akademia Wychowania Fizycznego im. B. Czecha w Krakowie,,,1.43,7.92,36.08,40.68,71.43,31.87,3.72,69.77,2.83,0.0,19.36,54.36,0.0,43.82,51.79,89.89,19.11,20.95,33.75,29.08,40.95,0.0,6.34,0.0,36.23,0.0,0.0,64.18,18.14,2024,,4.38,2.78
61-72,Akademia Wychowania Fizycznego im. E. Piaseckiego w Poznaniu,,,1.53,7.56,41.13,45.19,100.0,51.09,3.72,50.98,0.0,0.0,13.62,23.46,15.85,43.21,24.56,50.35,29.93,28.06,33.13,35.97,43.86,0.0,5.26,0.0,52.84,0.0,2.01,38.19,59.15,2024,,15.2,2.78
61-72,Akademia Wychowania Fizycznego J. Piłsudskiego w Warszawie,,,1.88,8.12,40.88,48.07,71.43,30.91,3.72,48.98,0.0,0.0,16.64,44.07,0.0,38.76,41.99,55.44,25.66,30.83,37.19,22.19,35.3,0.0,10.65,0.0,32.63,0.0,1.35,100.0,34.94,2024,,20.86,5.56
61-72,Akademia Wychowania Fizycznego we Wrocławiu,,,2.23,8.62,38.83,40.34,71.43,35.0,3.72,52.27,0.0,0.0,13.98,24.37,0.0,66.22,38.73,86.45,25.31,24.11,33.13,23.47,50.05,0.0,8.59,0.0,47.31,0.0,3.28,81.97,25.32,2024,,3.4,2.78
61-72,Politechnika Rzeszowska im. Ignacego Łukasiewicza,,,4.68,18.94,53.73,47.8,59.06,52.37,27.44,39.3,39.61,0.0,36.67,32.7,2.85,29.09,31.74,39.99,28.33,30.04,40.63,34.18,43.34,1.57,5.09,2.92,39.52,0.0,5.53,76.88,9.05,2024,Politechnika Rzeszowska,6.05,5.56
61-72,Politechnika Świętokrzyska,,,1.37,9.52,52.93,50.81,65.1,49.28,13.49,76.7,10.12,0.0,27.83,45.07,0.0,30.45,46.35,56.83,15.93,19.76,29.38,17.86,53.84,1.57,27.44,16.77,30.84,0.0,4.08,92.86,8.07,2024,Politechnika Swietokrzyska,11.16,11.11
61-72,Uniwersytet Ekonomiczny w Katowicach,,,4.09,9.68,55.43,63.27,57.14,63.45,7.44,43.97,0.0,0.0,33.7,37.39,14.01,13.2,36.4,20.81,26.29,34.78,43.75,34.18,31.92,20.47,9.94,25.99,32.49,0.0,0.91,83.83,27.39,2024,,10.51,5.56
61-72,Uniwersytet Rzeszowski,,,4.31,17.81,39.27,29.3,64.02,64.07,48.37,27.11,13.52,0.0,40.27,41.76,1.13,41.52,30.26,55.83,27.51,27.67,39.06,40.31,51.36,0.0,9.08,3.58,44.46,0.0,8.09,46.17,7.28,2024,,6.71,11.11
61-72,Uniwersytet Szczeciński,,,4.22,11.25,44.17,48.18,63.87,75.27,54.42,40.54,0.0,0.0,49.84,28.97,16.76,24.31,37.44,31.01,28.15,31.62,34.06,38.01,60.08,4.72,22.85,21.0,40.87,0.0,14.6,65.48,13.29,2024,,14.38,11.11
73-80,Akademia Pedagogiki Specjalnej w Warszawie,,,2.3,6.15,50.34,63.1,57.0,47.27,9.3,27.03,0.0,0.0,15.46,30.86,0.0,40.75,33.28,12.97,23.21,32.41,34.06,48.21,49.3,0.0,5.82,0.0,43.71,0.0,3.82,2.55,8.46,2024,,5.82,5.56
